service,attack_type,total_freq,mean_duration,total_failed_logins,total_file_creations,total_root_attempts,total_root_acceses
nntp,nmap.,1,0,0,0,0,0
gopher,portsweep.,1,0,0,0,0,0
IRC,satan.,1,0,0,0,0,0
ftp,loadmodule.,1,7,0,4,0,0
telnet,satan.,1,3,0,0,0,0
whois,ipsweep.,1,0,0,0,0,0
ftp,ipsweep.,1,2,0,0,0,0
name,ipsweep.,1,0,0,0,0,0
nntp,satan.,1,5,0,0,0,0
netstat,satan.,1,0,0,0,0,0
pm_dump,satan.,1,0,0,0,0,0
finger,ipsweep.,1,2,0,0,0,0
pop_3,satan.,1,5,0,0,0,0
uucp,portsweep.,1,30418,0,0,0,0
netbios_ssn,portsweep.,1,0,0,0,0,0
remote_job,portsweep.,1,0,0,0,0,0
link,portsweep.,1,0,0,0,0,0
remote_job,ipsweep.,1,0,0,0,0,0
ftp,rootkit.,1,21,0,1,0,0
vmnet,satan.,1,0,0,0,0,0
discard,satan.,1,11,0,0,0,0
telnet,nmap.,1,0,0,0,0,0
rje,portsweep.,1,1,0,0,0,0
ftp,satan.,1,8,0,0,0,0
gopher,satan.,1,2,0,0,0,0
ctf,nmap.,1,0,0,0,0,0
netbios_ns,portsweep.,1,0,0,0,0,0
courier,portsweep.,1,30619,0,0,0,0
ssh,ipsweep.,1,6,0,0,0,0
domain,ipsweep.,1,6,0,0,0,0
efs,portsweep.,1,30835,0,0,0,0
Z39_50,portsweep.,1,0,0,0,0,0
hostnames,portsweep.,1,0,0,0,0,0
http_443,portsweep.,1,0,0,0,0,0
sunrpc,satan.,1,11,0,0,0,0
hostnames,satan.,1,0,0,0,0,0
pop_3,nmap.,1,0,0,0,0,0
smtp,ipsweep.,1,0,0,0,0,0
telnet,land.,1,0,0,0,0,0
sql_net,portsweep.,1,0,0,0,0,0
daytime,portsweep.,1,0,0,0,0,0
